name,affiliation
Abby Cabunoc Mayes,Mozilla
Anand Padmanabhan,University of Illinois Urbana-Champaign
Andy Terrel,NumFOCUS
Anna Elizabeth Woodard,NA
Anshu Dubey,Argonne National Laboratory
Ardavan Oskooi,Simpetus
Arfon Smith,Space Telescope Science Institute
Asif Imran,NA
Ben Clifford,NA
Bernie Boscoe,"University of California, Los Angeles"
Brian Cherinka,NA
Brigitta Sipocz,AstroPy project/former RSE in the UK
Cameron Smith,NA
Carol Song,Purdue University
Chris Hill,Massachusetts Institute of Technology
Chris Holdgraf,Berkeley Institute for Data Science
Chris Mentzel,Moore Foundation
Christina Bandaragoda,University of Washington
Christina Maimone,NA
Daisie Huang,"Dryad Digital Repository, University of British Columbia"
Damian Rouson,Sourcery
Dan Gunter,Lawrence Berkeley National Laboratory
Dan Sholler,"University of California, Berkeley"
Daniel S. Katz,University of Illinois Urbana-Champaign
David Bernholdt,Oak Ridge National Lab
Demitri Muna,Ohio State University
Eliseo Marin-Rimoldi,NA
Elizabeth Jessup,University of Colorado
Erin Robinson,Federation of Earth Science Information Partners (ESIP)
Fernando Perez,"University of California, Berkeley"
Gina Helfrich,NumFOCUS
Henry Neeman,NA
Holly Bik,NA
Ivan Rodero,Rutgers University
Jack Smith,NA
James Howison,"University of Texas, Austin"
Jeff Carver,University of Alabama
Jeff Spies,SHARE
Jifu Tan,NA
Jim Kirby,Naval Research Laboratory
Julian Pistorius,NA
Juliane Schneider,NA
Karthik Ram,"University of California, Berkeley"
Katherine Huff,University of Illinois Urbana-Champaign
Kaylea Nelson,NA
Keith Beattie,Lawrence Berkeley National Laboratory
Kenneth Jansen,University of Colorado
Kurt Schwehr,Google
Kyle Chard,University of Chicago
Kyle Chard,Chicago
Kyle Niemeyer,Oregon State University
Lorraine Hwang,"University of California, Davis"
Lou Woodley,NA
M Pacer,Netflix
Maike Sonnewald,Massachusetts Institute of Technology
Marcus Hanwell,Kitware
Mark Miller,NA
Mark Neubauer,University of Illinois Urbana-Champaign
Martin Seul,CUAHSI
Mary Haley,National Center for Atmospheric Research (NCAR)
Matthew Krafczyk,NA
Meredith Lee,West Big Data Hub
Michael Hucka,Caltech
Michael Sevilla,"University of California, Santa Cruz"
Mike Zentner,Purdue University
Mohan Ramamurthy,NA
Nancy Wilkins-Diehr,"University of California, San Diego"
Nathan Goldbaum,University of Illinois Urbana-Champaign
Nathaniel Smith,Berkeley Institute for Data Science
Nic Weber,University of Washington
Osni Marques,NA
Peter Couvares,Caltech
Peter Elmer,Princeton University
Peter Teuben,"ASCL, University of Maryland"
Ray Idaszak,NA
Rick Johnson,NA
Rinku Gupta,NA
Rob Nagler,Radiasoft
Robert Jacob,NA
Salman Habib,Argonne National Laboratory
Sandra Gesing,University of Notre Dame
Scott Pearse,National Center for Atmospheric Research (NCAR)
Sean Cleveland,University of Hawaii
Seth Erickson,NA
Shantenu Jha,Rutgers University
Sharon Tettegah,NA
Shawn Rice,Purdue University
Stefan Van Der Wait,Berkeley Institute for Data Science
Steve Brandt,Louisiana State University
Steven G. Johnson,Massachusetts Institute of Technology
Steven R. Brandt,LSU
Stina Krist,University of Illinois Urbana-Champaign
Stuart Buck,Arnold Foundation
Stuart Geiger,"University of California, Berkeley"
Sudhakar Pamidighantam,NA
Tanu Malik,NA
Ted Habermann,HDF Group
Timo Kehrer,NA
Todd Tannenbaum,University of Wisconsin
Tom Cheatham,University of Utah
Tom Gulbransen,Battelle
Tracy Teal,The Carpentries
Tuan Do,NA
Upulee Kanewala,Montana State University
Wolfgang Bangerth,Colorado State University
Zach Weidner,Purdue University
